performer,main_artist_suggested
The American Breed,The American Breed
112 Featuring Lil'z,112
Rubber Rodeo,Rubber Rodeo
Sonny James,Sonny James
The Carters,The Carters
Timbaland Featuring OneRepublic,Timbaland
June Valli,June Valli
Roy Head And The Traits,Roy Head And The Traits
Jay And The Techniques,Jay And The Techniques
Parliament,Parliament
Busta Rhymes Featuring Ron Browz,Busta Rhymes
Duncan Laurence,Duncan Laurence
Pastor Troy Featuring Ms. Jade,Pastor Troy
The Fixx,The Fixx
The Barbarians,The Barbarians
Jet,Jet
Thompson Square,Thompson Square
Cassadee Pope,Cassadee Pope
Jimmy Ray,Jimmy Ray
Jaye P. Morgan,Jaye P. Morgan
Sandy Posey,Sandy Posey
Trini Lopez,Trini Lopez
So,So
XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,XXXTENTACION
Chilliwack,Chilliwack
Lupe Fiasco,Lupe Fiasco
Daft Punk,Daft Punk
ZZ Top,ZZ Top
Sophie B. Hawkins,Sophie B. Hawkins
Candi Staton,Candi Staton
Gin Blossoms,Gin Blossoms
Sammy Davis Jr.,Sammy Davis Jr.
Fleetwood Mac,Fleetwood Mac
Justin Bieber Featuring Big Sean,Justin Bieber
Zac Brown Band Featuring Alan Jackson,Zac Brown Band
Mashmakhan,Mashmakhan
Nilsson,Nilsson
Kelly Price,Kelly Price
Maxwell,Maxwell
Kokomo,Kokomo
"Ecstasy, Passion & Pain",Ecstasy
Inez Foxx,Inez Foxx
Millie Jackson,Millie Jackson
Gym Class Heroes Featuring Neon Hitch,Gym Class Heroes
Rick Ross Featuring Drake & Chrisette Michele,Rick Ross
Nektar,Nektar
Future & Juice WRLD,Future
Will Champlin,Will Champlin
T-Connection,T-Connection
Rufus Featuring Chaka Khan,Rufus
Dee Clark,Dee Clark
Wild Orchid,Wild Orchid
Richard Marx & Donna Lewis,Richard Marx
Ray Charles and his Orchestra,Ray Charles and his Orchestra
Johnny Caswell,Johnny Caswell
The Formations,The Formations
Billy & The Beaters,Billy
The Who,The Who
Donovan,Donovan
Stacy Lattisaw,Stacy Lattisaw
Kenny G,Kenny G
Arthur Conley,Arthur Conley
Migos,Migos
Kraftwerk,Kraftwerk
Michael Sembello,Michael Sembello
Puddle Of Mudd,Puddle Of Mudd
Crazy Frog,Crazy Frog
Harold Faltermeyer,Harold Faltermeyer
Pitbull,Pitbull
Karol G,Karol G
50 Cent Featuring Justin Timberlake & Timbaland,50 Cent
Trina Featuring Ludacris,Trina
Snoop Dogg Featuring Xzibit & Nate Dogg,Snoop Dogg
Bell Biv DeVoe,Bell Biv DeVoe
Jacquees,Jacquees
Megan Thee Stallion,Megan Thee Stallion
Jhene Aiko Featuring H.E.R.,Jhene Aiko
Migos Featuring 21 Savage,Migos
6ix9ine Featuring Anuel AA,6ix9ine
Russ & BIA,Russ
Ashanti,Ashanti
Fabolous Featuring Mike Shorey,Fabolous
Corona,Corona
The Superbs,The Superbs
Beyonce Featuring Sean Paul,Beyonce
The Manhattan Transfer,The Manhattan Transfer
Smokey Robinson,Smokey Robinson
Solomon Burke,Solomon Burke
2Pac + Outlawz,2Pac
Fabolous Featuring Jermaine Dupri,Fabolous
Karla Bonoff,Karla Bonoff
"Faith, Hope And Charity",Faith
The Miniature Men,The Miniature Men
Little Richard,Little Richard
The Wing And A Prayer Fife & Drum Corps.,The Wing And A Prayer Fife
Billy Joel featuring Ray Charles,Billy Joel
George Maharis,George Maharis
Little Milton,Little Milton
Big Mountain,Big Mountain
